posts,language,query,time
3200,SQL with joins,one blogpost,0.016206800000190924
3200,SQL Materialized View,one blogpost,0.0019091000001481007
3200,SQL without joins,one blogpost,0.004564800000025571
3200,SQL without joins,one blogpost,0.01863580000008369
3200,SQL without joins,one blogpost,0.003168400000049587
3200,MongoDB,one blogpost,8.509999997841078e-05
3200,SQL with joins,one blogpost,0.010667499999954089
3200,SQL Materialized View,one blogpost,0.0017265999999835913
3200,SQL without joins,one blogpost,0.0014854999999442953
3200,SQL without joins,one blogpost,0.005723999999872831
3200,SQL without joins,one blogpost,0.0016708000000562606
3200,MongoDB,one blogpost,4.8699999979362474e-05
3200,SQL,by tag,0.0037071000001560606
3200,SQL Materialized View,by tag,0.001714300000003277
3200,MongoDB,by tag,5.0099999953090446e-05
3200,SQL,by tag,0.0033210999999937485
3200,SQL Materialized View,by tag,0.0020431999998891115
3200,MongoDB,by tag,4.540000009001233e-05
3200,SQL,by tag,0.0032490000000962027
3200,SQL Materialized View,by tag,0.0016371000001527136
3200,MongoDB,by tag,4.9700000090524554e-05
3200,SQL,by tag,0.003228300000046147
3200,SQL Materialized View,by tag,0.001629499999808104
3200,MongoDB,by tag,5.199999986871262e-05
3200,SQL,by tag,0.0037475999999969645
3200,SQL Materialized View,by tag,0.001679599999988568
3200,MongoDB,by tag,5.0999999984924216e-05
3200,SQL,by comment author,0.005607499999996435
3200,SQL with Index,by comment author,0.0017350999999052874
3200,MongoDB,by comment author,5.030000011174707e-05
3200,SQL,by comment author,0.005315200000040932
3200,SQL with Index,by comment author,0.0016072999999323656
3200,MongoDB,by comment author,4.949999993186793e-05
3200,SQL,by comment author,0.00539359999993394
3200,SQL with Index,by comment author,0.001734999999825959
3200,MongoDB,by comment author,5.129999999553547e-05
3200,SQL,by comment author,0.005346299999928306
3200,SQL with Index,by comment author,0.00254070000005413
3200,MongoDB,by comment author,4.949999993186793e-05
3200,SQL,by comment author,0.005328199999894423
3200,SQL with Index,by comment author,0.0025974000000132946
3200,MongoDB,by comment author,0.00011410000001887965
6400,SQL with joins,one blogpost,0.03943279999975857
6400,SQL Materialized View,one blogpost,0.0020054999999956635
6400,SQL without joins,one blogpost,0.0014250999997784675
6400,SQL without joins,one blogpost,0.010041000000001077
6400,SQL without joins,one blogpost,0.0022995999997874605
6400,MongoDB,one blogpost,5.050000027040369e-05
6400,SQL with joins,one blogpost,0.0198765000000094
6400,SQL Materialized View,one blogpost,0.0017115999999077758
6400,SQL without joins,one blogpost,0.001477199999953882
6400,SQL without joins,one blogpost,0.010111199999755627
6400,SQL without joins,one blogpost,0.0023304000001189706
6400,MongoDB,one blogpost,4.540000009001233e-05
6400,SQL with joins,one blogpost,0.026349199999913253
6400,SQL Materialized View,one blogpost,0.0017254999997931009
6400,SQL without joins,one blogpost,0.0032270000001517474
6400,SQL without joins,one blogpost,0.023256099999798607
6400,SQL without joins,one blogpost,0.00501799999983632
6400,MongoDB,one blogpost,5.419999979494605e-05
6400,SQL with joins,one blogpost,0.015000899999904505
6400,SQL Materialized View,one blogpost,0.0018390999998700863
6400,SQL without joins,one blogpost,0.0014421999999285617
6400,SQL without joins,one blogpost,0.010576600000149483
6400,SQL without joins,one blogpost,0.002581300000201736
6400,MongoDB,one blogpost,5.180000016480335e-05
